"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","116",".prev() - get previous sibling DOM element","Traversal","2025-11-30","passed","2025-11-30","","","",""
"","545",".clear() - clears an input or textarea element","Actions","2025-11-30","passed","2025-11-30","","","",""
"","120","Get environment variables","Cypress APIs","2025-11-30","passed","2025-11-30","","Cypress.env()","",""
"","120",".isHidden() - determine if a DOM element is hidden","Cypress APIs","2025-11-30","passed","2025-11-30","","Cypress.dom","",""
"","116",".parent() - get parent DOM element from DOM elements","Traversal","2025-11-30","passed","2025-11-30","","","",""
"","121","yields the original subject without return","Connectors","2025-11-30","passed","2025-11-30","",".then()","",""
"","207","can check off an item as completed","example to-do app","2025-11-30","passed","2025-11-30","","","",""
"","147",".focus() - focus on a DOM element","Actions","2025-11-30","passed","2025-11-30","","","",""
"","519","cy.reload() - reload the page","Navigation","2025-11-30","passed","2025-11-30","","","",""
"","131","pass your own callback function to should()","Assertions","2025-11-30","passed","2025-11-30","","Explicit Assertions","",""
"","116",".spread() - spread an array as individual args to callback function","Connectors","2025-11-30","passed","2025-11-30","","","",""
"","490","Cypress._ - call a lodash method","Utilities","2025-11-30","passed","2025-11-30","","","",""
"","116",".siblings() - get all sibling DOM elements","Traversal","2025-11-30","passed","2025-11-30","","","",""
"","361",".should() - make an assertion about the current subject","Assertions","2025-11-30","passed","2025-11-30","","Implicit Assertions","",""
"","296","cy.spy() - wrap a method in a spy","Spies, Stubs, and Clock","2025-11-30","passed","2025-11-30","","","",""
"","135","cy.setCookie() - set a browser cookie","Cookies","2025-11-30","passed","2025-11-30","","","",""
"","2139","cy.scrollTo() - scroll the window or element to a position","Actions","2025-11-30","passed","2025-11-30","","","",""
"","114","cy.stub() - create a stub and/or replace a function with stub","Spies, Stubs, and Clock","2025-11-30","passed","2025-11-30","","","",""
"","209","cy.getAllLocalStorage() - get all data in localStorage for all origins","Local Storage / Session Storage","2025-11-30","passed","2025-11-30","","","",""
"","118",".filter() - get DOM elements that match the selector","Traversal","2025-11-30","passed","2025-11-30","","","",""
"","124",".first() - get first DOM element","Traversal","2025-11-30","passed","2025-11-30","","","",""
"","905","displays two todo items by default","example to-do app","2025-11-30","passed","2025-11-30","","","",""
"","124",".closest() - get closest ancestor DOM element","Traversal","2025-11-30","passed","2025-11-30","","","",""
"","132",".its() - get properties on the current subject","Connectors","2025-11-30","passed","2025-11-30","","","",""
"","149","cy.getAllCookies() - get all browser cookies","Cookies","2025-11-30","passed","2025-11-30","","","",""
"","292","cy.focused() - get the DOM element that has focus","Misc","2025-11-30","passed","2025-11-30","","","",""
"","410",".submit() - submit a form","Actions","2025-11-30","passed","2025-11-30","","","",""
"","131","expect - make an assertion about a specified subject","Assertions","2025-11-30","passed","2025-11-30","","Explicit Assertions","",""
"","227","cy.getCookies() - get browser cookies for the current domain","Cookies","2025-11-30","passed","2025-11-30","","","",""
"","167","Get and set configuration options","Cypress APIs","2025-11-30","passed","2025-11-30","","Cypress.config()","",""
"","115","cy.document() - get the document object","Window","2025-11-30","passed","2025-11-30","","","",""
"","118","Cypress.minimatch - test out glob patterns against strings","Utilities","2025-11-30","passed","2025-11-30","","","",""
"","506","Cypress.Blob - blob utilities and base64 string conversion","Utilities","2025-11-30","passed","2025-11-30","","","",""
"","112","cy.wrap() - wrap an object","Misc","2025-11-30","passed","2025-11-30","","","",""
