"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","120","invokes a callback function with the current subject","Connectors","2025-11-30","passed","2025-11-30","",".then()","",""
"","440",".add() - create a custom command","Cypress APIs","2025-11-30","passed","2025-11-30","","Cypress.Commands","",""
"","140","pass your own callback function to should()","Assertions","2025-11-30","passed","2025-11-30","","Explicit Assertions","",""
"","564","cy.writeFile() - write to a file","Files","2025-11-30","passed","2025-11-30","","","",""
"","159",".eq() - get a DOM element at a specific index","Traversal","2025-11-30","passed","2025-11-30","","","",""
"","24","cy.stub() matches depending on arguments","Spies, Stubs, and Clock","2025-11-30","passed","2025-11-30","","","",""
"","1009",".select() - select an option in a <select> element","Actions","2025-11-30","passed","2025-11-30","","","",""
"","292",".each() - iterate over an array of elements","Connectors","2025-11-30","passed","2025-11-30","","","",""
"","156","Cypress.minimatch - test out glob patterns against strings","Utilities","2025-11-30","passed","2025-11-30","","","",""
"","1174","Cypress.Promise - instantiate a bluebird promise","Utilities","2025-11-30","passed","2025-11-30","","","",""
"","683","best practices - selecting elements","Querying","2025-11-30","passed","2025-11-30","","","",""
"","929","cy.screenshot() - take a screenshot","Misc","2025-11-30","passed","2025-11-30","","Cypress.Screenshot","",""
"","327","can delete all completed tasks","example to-do app","2025-11-30","passed","2025-11-30","","with a checked task","",""
"","142","Get environment variables","Cypress APIs","2025-11-30","passed","2025-11-30","","Cypress.env()","",""
"","127",".its() - get properties on the current subject","Connectors","2025-11-30","passed","2025-11-30","","","",""
"","204",".trigger() - trigger an event on a DOM element","Actions","2025-11-30","passed","2025-11-30","","","",""
"","160",".first() - get first DOM element","Traversal","2025-11-30","passed","2025-11-30","","","",""
"","223",".prevAll() - get all previous sibling DOM elements","Traversal","2025-11-30","passed","2025-11-30","","","",""
"","133","Get current spec information","Cypress APIs","2025-11-30","passed","2025-11-30","","Cypress.spec","",""
"","304","cy.tick() - move time in the browser","Spies, Stubs, and Clock","2025-11-30","passed","2025-11-30","","","",""
"","707","cy.clearLocalStorage() - clear all data in localStorage for the current origin","Local Storage / Session Storage","2025-11-30","passed","2025-11-30","","","",""
"","580","Cypress.Blob - blob utilities and base64 string conversion","Utilities","2025-11-30","passed","2025-11-30","","","",""
"","580","cy.request() - pass result to the second request","Network Requests","2025-11-30","passed","2025-11-30","","","",""
"","126",".invoke() - invoke a function on the current subject","Connectors","2025-11-30","passed","2025-11-30","","","",""
"","248","cy.clearCookies() - clear browser cookies for the current domain","Cookies","2025-11-30","passed","2025-11-30","","","",""
"","4024",".type() - type into a DOM element","Actions","2025-11-30","passed","2025-11-30","","","",""
"","147",".and() - chain multiple assertions together","Assertions","2025-11-30","passed","2025-11-30","","Implicit Assertions","",""
"","569","cy.request() - save response in the shared test context","Network Requests","2025-11-30","passed","2025-11-30","","","",""
"","177","cy.setCookie() - set a browser cookie","Cookies","2025-11-30","passed","2025-11-30","","","",""
"","123","cy.document() - get the document object","Window","2025-11-30","passed","2025-11-30","","","",""
"","115","yields the value yielded by the last Cypress command inside","Connectors","2025-11-30","passed","2025-11-30","",".then()","",""
"","420","cy.hash() - get the current URL hash","Location","2025-11-30","passed","2025-11-30","","","",""
"","140",".parentsUntil() - get parent DOM elements from DOM elements until el","Traversal","2025-11-30","passed","2025-11-30","","","",""
"","1186","Cypress._ - call a lodash method","Utilities","2025-11-30","passed","2025-11-30","","","",""
"","703","cy.wait() - wait for a specific route","Waiting","2025-11-30","passed","2025-11-30","","","",""
"","196","cy.getAllLocalStorage() - get all data in localStorage for all origins","Local Storage / Session Storage","2025-11-30","passed","2025-11-30","","","",""
"","2218","cy.scrollTo() - scroll the window or element to a position","Actions","2025-11-30","passed","2025-11-30","","","",""
"","151","Cypress.Screenshot.defaults() - change default config of screenshots","Misc","2025-11-30","passed","2025-11-30","","Cypress.Screenshot","",""
"","192",".closest() - get closest ancestor DOM element","Traversal","2025-11-30","passed","2025-11-30","","","",""
"","1905","cy.go() - go back or forward in the browser's history","Navigation","2025-11-30","passed","2025-11-30","","","",""
"","181",".prevUntil() - get all previous sibling DOM elements until el","Traversal","2025-11-30","passed","2025-11-30","","","",""
"","812","cy.fixture() - load a fixture","Files","2025-11-30","passed","2025-11-30","","","",""
"","317","cy.focused() - get the DOM element that has focus","Misc","2025-11-30","passed","2025-11-30","","","",""
"","200","cy.getAllSessionStorage() - get all data in sessionStorage for all origins","Local Storage / Session Storage","2025-11-30","passed","2025-11-30","","","",""
"","434",".submit() - submit a form","Actions","2025-11-30","passed","2025-11-30","","","",""
"","130",".isHidden() - determine if a DOM element is hidden","Cypress APIs","2025-11-30","passed","2025-11-30","","Cypress.dom","",""
"","117",".spread() - spread an array as individual args to callback function","Connectors","2025-11-30","passed","2025-11-30","","","",""
"","435","cy.request() - verify response using BDD syntax","Network Requests","2025-11-30","passed","2025-11-30","","","",""
"","190",".parents() - get parent DOM elements from DOM elements","Traversal","2025-11-30","passed","2025-11-30","","","",""
"","3128","cy.viewport() - set the viewport size and dimension","Viewport","2025-11-30","passed","2025-11-30","","","",""
"","130","cy.title() - get the title","Window","2025-11-30","passed","2025-11-30","","","",""
"","117","yields the returned value to the next command","Connectors","2025-11-30","passed","2025-11-30","",".then()","",""
"","325","can filter for completed tasks","example to-do app","2025-11-30","passed","2025-11-30","","with a checked task","",""
"","322","can filter for uncompleted tasks","example to-do app","2025-11-30","passed","2025-11-30","","with a checked task","",""
"","797",".children() - get child DOM elements","Traversal","2025-11-30","passed","2025-11-30","","","",""
"","216","cy.clearAllLocalStorage() - clear all data in localStorage for all origins","Local Storage / Session Storage","2025-11-30","passed","2025-11-30","","","",""
